	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	3	2068	174	1205	205	5	61	103	771	475	864	50	123	256	344	44	525	265	4	207	1911	1745
16 kDa heat shock protein A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
16 kDa heat shock protein B	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
16S rRNA processing protein RimM	2324	1604	2000	3751	6763	1387	7965	10069	1287	6192	607	4901	3194	3944	6175	4390	12162	5269	1224	3273	727	645
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	33	75	53	31	1763	22	731	1149	28	6197	48	919	2396	1296	3427	921	6824	3764	34	1523	3	3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	29	31	9788	13225	1351	5493	4222	2715	99	1080	17	1811	2217	1240	2854	3694	3048	1708	38	1061	256	127
2-aminoethylphosphonate uptake and metabolism regulator	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	12	4	7	5	206	4	101	140	8	792	5	57	181	334	377	50	1791	461	3	421	4	4
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	8	16	10	7	907	16	1287	1668	12	5102	9	1802	1938	1194	2645	1249	5694	2952	11	2175	6	8
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	1	7	1	3	22	2	20	464	1	25	1	297	56	35	17	19	117	21	2	13	2	4
2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	3	175	13	6	51	10	855	1060	88	244	42	675	1025	2024	689	521	2439	1225	6	98	69	232
2-dehydropantoate 2-reductase (EC 1.1.1.169)	74	18	22	11	1101	6	3336	1938	7	561	11	964	1046	657	1737	886	2667	1475	12	230	4	4
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	2	1	2	1	72	2	338	343	1	265	3	96	211	254	776	235	1555	429	1	120	2	5
2-deoxyglucose-6-phosphate hydrolase YniC	2522	127	3175	4305	15	1979	1557	1162	37	92	6	1243	1028	968	783	936	497	191	25	211	68	12
2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	0	0	0	0	326	0	0	2	1	56	0	40	3	0	54	0	0	0	0	4	0	0
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	208	1	4	4	3	21	1	1	1	3	1	1	1	1	3	1	3	5	4	4	4	1
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2
2-isopropylmalate synthase (EC 2.3.3.13)	1	4	2	1	4	2	178	156	3	4	1	13	2	119	152	28	43	31	2	4	1	1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	37	3	5	3	23	3	1042	177	1	124	1	109	294	95	190	157	449	397	4	194	1	1
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	4	4	7	3	188	3	254	267	3	635	4	111	334	216	299	472	1086	371	3	292	3	2
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	0	0	0	0	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	12	14	6	5	915	8	1301	839	3	3465	5	585	2105	1040	1912	982	3630	2137	5	685	2	3
2-keto-3-deoxygluconate permease (KDG permease)	1	1	2	2	4	1	22	25	1	5	1	13	1	5	17	95	1017	23	3	15	2	1
2-ketoaldonate reductase, broad specificity (EC 1.1.1.215) (EC 1.1.1.-)	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylcitrate dehydratase (EC 4.2.1.79)	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
2-methylcitrate synthase (EC 2.3.3.5)	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-methylisocitrate dehydratase (EC 4.2.1.99)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
2-phosphosulfolactate phosphatase (EC 3.1.3.71)	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	1	2	1	1	74	1	65	124	2	368	3	51	133	175	423	45	781	276	2	471	1	1
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	1	1	1	1	32	1	1	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	19	50	25	18	3764	23	2003	3419	13	8940	28	2101	3621	2007	5022	1516	8798	6124	15	4099	5	5
2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	0	0	0	3	0	0	0	3	2	0	0	1	0	0	0	0	0	0	11	0	0	5
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	36	2305	92	3	870	3	29	2020	774	144	18	1621	186	161	139	59	336	39	3	5	433	889
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2'-5' RNA ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	879	1277	160	317	55	228	26	68	1246	402	781	306	25	7	7	11	30	47	960	10	747	2847
21 kDa hemolysin precursor	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	0	5	0	0	2	0	162	189	0	1168	0	6	325	673	619	222	1057	773	2	1091	2	0
23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2H phosphoesterase superfamily protein Bsu1186 (yjcG)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	1	1	1	1	72	1	1	2	1	7	1	3	1	1	1	1	3	1	1	1	1	1
3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
3-dehydroquinate dehydratase I (EC 4.2.1.10)	1704	19	527	883	35	568	376	298	13	14	4	305	244	169	406	511	203	81	190	48	34	15
3-dehydroquinate dehydratase II (EC 4.2.1.10)	33	12	29	16	185	9	645	504	13	2137	16	105	602	620	1051	301	1785	1022	11	360	5	5
3-dehydroquinate synthase (EC 4.2.3.4)	5	6	5	4	251	4	230	544	3	880	2	249	553	386	378	425	1084	374	2	335	3	3
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	1	4	1	1	79	2	4	61	3	46	2	65	128	11	6	70	146	16	1	2	1	1
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	16	18	15	7	1461	12	1450	1182	6	969	8	1875	2295	470	1067	1159	1663	1032	15	391	5	5
3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	4	5	5	2	474	5	584	619	3	1547	4	314	722	838	1568	476	2924	1228	6	2003	2	4
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	3	4	6	4	430	4	540	318	2	1218	6	939	557	405	1061	410	1567	859	3	651	4	3
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0	1	0	0	7	1	352	124	3	138	0	1	1	201	295	301	1	45	6	3	0	0
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	15	683	28	18	2284	16	2651	1704	182	2592	290	4472	5089	4210	2096	8402	3779	2078	7	355	170	3
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	131	173	69	311	3499	44	2605	1127	55	2842	44	3570	9733	7109	2715	12687	4832	2041	65	391	26	18
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	1	2	1	1	6	1	3	13	1	11	5	11	4	4	5	2	7	2	1	1	1	1
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	1	1	1	2	3	1	105	140	1	3	1	10	1	79	52	15	24	23	2	3	1	1
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	1	1	1	1	5	2	161	401	2	6	1	24	1	238	150	31	45	45	1	7	1	1
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	1	1	1	1	19	3	191	486	1	8	1	18	1	280	160	35	51	47	1	6	1	1
3-keto-5-aminohexanoate cleavage enzyme	0	4	1	0	152	0	2	0	0	15	0	1	0	0	0	1	1	0	0	10	0	0
3-keto-L-gulonate 6-phosphate decarboxylase	21	12139	4145	17	412	12	81	1288	6332	3926	1692	1464	13	9	14	11	19	8	9	16	18653	30904
3-keto-L-gulonate 6-phosphate decarboxylase homolog	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3-ketoacyl-CoA thiolase (EC 2.3.1.16)	110	13	19	9	742	12	1767	941	5	1887	7	1861	1853	2770	1175	7532	2839	2198	8	487	2	2
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	5	10	4	2	269	4	1377	562	5	1405	4	450	476	810	1626	1702	3222	1426	3	1094	4	1
3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	16	36	19	23	714	21	592	585	13	4840	20	171	1431	2884	4395	522	4622	2554	14	2109	1	2
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	52	6807	5450	5810	4616	3270	6044	11940	3607	17049	2187	6045	9466	20826	33072	9379	30700	13381	52	8827	1991	3719
3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	7
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	4	2	0	1	409	2	102	277	1	746	3	200	484	875	1697	127	2786	1649	2	1675	1	1
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	27	54	54	28	7928	33	3737	5739	18	11178	29	2177	5440	6192	10720	2847	17538	8759	20	15023	14	14
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	18	115	55	18	9134	21	1693	2620	14	10838	20	7049	2770	2229	4298	1521	10507	4484	14	7193	19	17
3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3-polyprenyl-4-hydroxybenzoate carboxy-lyase UbiX (EC 4.1.1.-)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
3,4-dihydroxy-2-butanone 4-phosphate synthase	5	4	3	5	185	4	2	4	3	7	3	1118	1	4	3	4	779	7	0	7	1	1
3,5-diaminobexanoate dehydrogenase (EC 1.4.1.11)	0	4	1	0	128	0	2	5	0	49	0	3	6	3	3	0	11	1	0	0	0	0
3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC	0	1	1	0	63	1	0	0	1	0	0	13	1	0	1	0	0	0	0	0	0	0
3'-to-5' exoribonuclease RNase R	5602	3854	424	2009	1056	569	1287	1629	2924	2069	1985	940	1357	808	2060	1372	3407	1746	1493	644	1897	3224
3'-to-5' oligoribonuclease (orn)	189	10	38	6	84	6	1639	832	2	1216	9	680	1900	165	1078	1872	5692	3501	18	224	1	1
3'-to-5' oligoribonuclease B, Bacillus type	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	1
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	1	0	0	0	45	0	0	11	0	23	0	33	11	6	39	0	3	1	0	0	0	0
3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	285	48	69	23	4856	28	8535	5909	17	11788	23	4573	7851	4389	6562	5288	20816	11829	27	2699	7	8
4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	23	8	14	11	706	7	1539	910	14	670	5	547	575	590	1595	1195	1634	1014	14	258	8	7
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	5	8	4	9	434	4	106	270	5	627	3	117	290	180	420	77	824	449	3	517	2	2
4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.-)	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxybenzoate transporter	35	2	10	3	11	2	218	92	2	106	1	29	360	31	102	163	359	327	2	216	1	1
4-hydroxybenzoyl-CoA thioesterase family active site	5	11	14	7	1762	5	1361	1169	12	4555	10	655	2027	3155	4808	1138	4993	3312	6	2418	7	5
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	2	6	2	2	358	3	45	107	1	598	2	72	124	158	331	45	686	231	3	364	3	1
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	4	8	8	2	498	4	149	215	5	2320	6	582	405	409	965	195	1309	545	5	1009	2	2
4-oxalocrotonate tautomerase (EC 5.3.2.-)	1	6	1	1	1	1	5	5	1	2	2	2	2	2	10	2	2	2	476	2	2	44
4'-phosphopantetheinyl transferase (EC 2.7.8.-)	1	1	1	1	4	1	4	48	1	486	2	1	14	1	1	3	2	3	1	1	1	1
4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5-deoxy-glucuronate isomerase (EC 5.3.1.-)	1	1	1	1	7	1	1	7	0	2	1	2	2	1	2	1	2	4	1	6	1	1
5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	40	11	8	5	232	6	368	531	6	5213	2	274	975	485	936	559	2104	1287	7	802	3	5
5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	1185	1808	2133	3537	670	1254	2901	2349	935	465	535	1179	991	1593	2153	2918	2426	1083	1839	1357	1694	2105
5-keto-2-deoxy-D-gluconate-6 phosphate aldolase [form 2] (EC 4.1.2.29)	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
5-keto-2-deoxygluconokinase (EC 2.7.1.92)	0	0	0	0	1	0	0	1	0	0	0	5	13	1	0	1	2	1	0	0	0	0
5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-)	7	1	1	1	1	1	11	3	1	1	1	11	3	1	11	10	4	163	660	19	1	16
5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	1	2	1	0	75	0	0	2	1	1	1	15	128	0	1	2	1	0	0	0	1	0
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	293	661	84	50	228	34	766	472	6	99	287	276	250	403	1162	249	1987	501	22	142	213	411
5-methylthioribose kinase (EC 2.7.1.100)	0	1	1	1	0	1	1	1	0	1	169	1	1	1	1	1	1	1	0	1	1	1
5-nucleotidase SurE (EC 3.1.3.5)	6	10	11	5	752	8	870	675	3	778	3	454	544	405	970	828	1963	672	4	520	4	3
5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	28	2	5	3	102	3	421	143	2	69	4	82	399	194	917	135	998	278	3	93	4	3
5'-nucleotidase (EC 3.1.3.5)	738	51	34	184	2712	134	861	2734	14	11637	16	1552	3208	2523	5759	982	11600	4882	29	2778	12	14
5'-nucleotidase family protein in cluster with NagD-like phosphatase	1358	2579	169	1218	13	127	9	6	1351	21	1098	26	4	5	3	7	4	2	1254	11	1273	1461
5'-nucleotidase YjjG (EC 3.1.3.5)	1	1	1	4	6	1	3	64	6	6	1	3	17	1	7	2	32	13	7	5	6	8
50S ribosomal subunit maturation GTPase RbgA (B. subtilis YlqF)	2121	2417	3233	3232	1092	2382	5710	2814	1276	275	951	3068	2165	4727	3133	5691	2316	822	690	536	876	795
6-phospho-3-hexuloisomerase	1	664	1	2	5	1	13	4	148	15	48	4	215	1	9	114	2	5	1	1	128	1
6-phospho-beta-galactosidase (EC 3.2.1.85)	1177	35	35	1394	43	76	1015	138	9	109	5	172	1061	2250	698	28	5	8	869	501	131	149
6-phospho-beta-glucosidase (EC 3.2.1.86)	9574	1854	182	1674	14	857	27	22	2208	10	475	16	12	13	25	8	7	8	309	7	1237	1510
6-phosphofructokinase (EC 2.7.1.11)	35406	93374	52478	70123	10438	38730	26916	31052	41155	29755	31295	49528	18858	24593	30179	57199	38839	11165	21071	20884	33456	47644
6-phosphofructokinase class II (EC 2.7.1.11)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
6-phosphofructokinase, eukaryotic type (EC 2.7.1.11)	0	0	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	2717	7295	7889	7774	583	4517	5127	3519	2790	454	2298	4442	2834	3207	4257	6605	2688	833	1732	1027	3890	6484
6-phosphogluconolactonase (EC 3.1.1.31)	1768	1709	2327	3356	557	1260	1231	967	823	169	663	1105	793	615	996	900	667	103	2416	357	2815	5283
6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	30	3	5	4	45	2	406	266	2	209	3	112	452	57	653	239	1005	591	2	156	2	2
6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)	73	13880	62	249	2646	16	2817	2257	969	4372	5084	1484	1984	1775	4474	1881	7468	3335	2616	2513	113	12842
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	10	134	9	7	209	5	349	459	75	3632	50	43	758	1117	1744	278	4685	1837	4	2076	2	2
A/G-specific adenine glycosylase (EC 3.2.2.-)	3	8	6	3	317	5	294	208	3	118	3	179	292	120	270	334	423	348	5	142	4	4
AA3-600 quinol oxidase subunit II	1	1	1	1	1	5	5	1	1	5	566	1	1	1	1	1	1	1	5	1	1	1
ABC transporter ATP-binding protein uup	616	1147	1735	2159	639	1121	895	1083	819	175	583	1003	842	534	701	1075	605	268	363	252	935	1132
ABC transporter in pyoverdin gene cluster, ATP-binding component	3	4	1	4	2085	9	394	4785	6	1435	3	3726	792	1302	817	357	2379	1111	1	1272	2	6
ABC transporter in pyoverdin gene cluster, periplasmic component	0	0	4	2	2677	4	38	3376	0	174	2	4319	420	221	549	115	384	47	2	9	0	3
ABC transporter in pyoverdin gene cluster, permease component	1	0	0	0	606	1	32	1279	0	116	0	1460	143	230	183	55	143	53	0	2	1	0
ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	0	1	0	0	0	0	40	107	1	412	0	2	114	211	328	38	793	279	0	272	0	0
ABC transporter involved in cytochrome c biogenesis, CcmB subunit	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC transporter membrane-spanning permease, Pep export, Vex1	5	4	2	1	18	1	93	18	1	121	1	9	100	68	81	68	126	89	2	169	1	1
ABC transporter membrane-spanning permease, Pep export, Vex3	8	2	7	1	131	2	200	491	1	861	1	31	113	139	132	38	356	141	2	204	2	1
ABC transporter multidrug efflux pump, fused ATP-binding domains	1	0	4	1	189	1	28	134	1	166	55	122	95	75	198	47	106	201	1	3	0	0
ABC transporter permease protein YvcS	0	0	0	0	2	0	3	19	0	8	0	2	5	5	5	10	24	10	0	0	0	1
ABC transporter, ATP-binding protein Vex2	12	28	9	2	241	2	154	178	21	184	23	79	70	51	93	27	201	90	3	118	2	2
ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	493	2702	1088	1387	616	586	772	1728	1401	118	1261	1009	515	862	842	1049	468	163	760	276	1352	943
ABC transporter, predicted N-acetylneuraminate transport system permease protein 1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ABC transporter, predicted N-acetylneuraminate transport system permease protein 2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABC transporter, predicted N-acetylneuraminate-binding protein	0	0	0	0	13	0	2	2	0	5	0	0	3	0	3	3	7	9	0	2	0	0
ABC-type Fe3+-siderophore transport system, periplasmic iron-binding component	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ABC-type hemin transport system, ATPase component	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	5	2	2	1	1	1
ABC-type multidrug transport system, ATPase component	285	26	73	11	298	19	4536	2674	7	3232	13	1187	3974	1971	1926	5173	12325	10476	24	4990	4	5
ABC-type multidrug transport system, permease component	11	1	0	0	5	0	70	163	0	4	0	7	58	0	6	5	34	24	1	29	0	0
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	6	2	1	1	112	1	319	190	1	68	1	84	28	77	92	123	141	533	1	22	1	2
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	1	2	1	1	6	1	2	5	1	5	1	9	2	3	1	5	1	3	1	1	1	1
ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	1	8	3	3	93	1	138	406	1	124	1	332	168	62	93	164	395	146	2	34	2	1
ABC-type polar amino acid transport system, ATPase component	0	0	0	1	3	1	37	5	1	10	0	4	4	2	0	0	0	7	0	2	1	0
ABC-type sugar transport system, periplasmic binding protein YcjN	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
ABC-type transport system involved in resistance to organic solvents, periplasmic component USSDB6C	1	0	0	1	28	0	12	17	0	28	1	17	12	8	19	17	38	38	0	11	0	0
ABC-type transport system involved in resistance to organic solvents, permease component USSDB6A	1	8	3	3	203	3	146	345	2	1817	3	95	399	550	906	120	1249	762	2	568	1	1
Accessory secretory protein Asp2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accessory secretory protein Asp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
